realization,al,alkalinity,as,ba,ca,cl,cr,f,fe,k,mg,mn,na,p,ph,s6,si,sr,u,is_base,iteration
27,1.7575892545630007e-08,0.00246824832155104,1.1264281907270002e-09,1.8513101405259985e-06,0.0005577001691508,6.027734023218002e-05,1.0269629355280008e-08,8.947640851378005e-05,1.1002644904910001e-05,4.239698722633999e-05,3.7526191549619996e-05,3.155804418828998e-07,0.0027007347623070003,1.165097585259999e-09,1.3454079035237272e-08,0.0005046548409478999,0.00013900393597610005,1.1822937918090002e-06,8.402962963517012e-11,False,3
28,1.9865981262239992e-08,0.0024575569530305603,1.7266932748189967e-09,9.950888565656006e-07,0.00043356183604459993,6.150139200438997e-05,1.150465628446e-08,8.828704274265008e-05,8.970066672418992e-06,4.143740620675002e-05,2.8690484711050023e-05,4.622584596070001e-07,0.0028115479015890007,1.270366935035001e-09,1.075206088378698e-08,0.00023072061528219993,0.00014247930309370008,1.3339594217969993e-06,8.403006607804006e-11,False,3
29,2.0183746703650005e-08,0.00254675452818918,1.2204490717689986e-09,1.1429855610850001e-06,0.0004117438693364998,6.150168278074993e-05,1.0894579584310003e-08,8.893406822615996e-05,8.722539177953994e-06,4.195972645577998e-05,2.722084260301002e-05,4.005986220545003e-07,0.0027520505448269997,1.3426231010709977e-09,1.0620009534566036e-08,0.0002172664316825001,0.00014059379130749994,2.4039594620950006e-06,8.403119831787015e-11,False,3
3,2.0374487184660016e-08,0.0025814774300443,1.0703159596759992e-09,4.2348541808670027e-07,0.0003980876809981002,6.871908803421997e-05,2.7433851822850022e-08,8.877521080629996e-05,8.532443391274e-06,4.183151190314996e-05,2.628668538066e-05,3.047365209219001e-07,0.002773874035849001,1.3820278881659997e-09,1.0424671581915786e-08,0.00020163231347220006,0.00014105623191000002,1.4453088914779988e-06,8.403036175013003e-11,False,3
30,1.6049102549079992e-08,0.0023387841449241126,1.0856141906909994e-09,4.3240125829439995e-07,0.0006996936441548001,5.523288127302e-05,1.270091280249001e-08,8.896434685056002e-05,1.2993956142699992e-05,4.198395682753002e-05,4.708662413e-05,2.737281418096001e-07,0.0027426512166839993,1.0273715941729986e-09,1.548729395091585e-08,0.0007575118690115002,0.00014048992413570003,1.0986659301050004e-06,8.402876075438001e-11,False,3
31,1.8936137427910016e-08,0.002532107697107659,1.3318590254220022e-09,1.116243944955e-06,0.0004666954217419002,6.349617329289997e-05,1.0413129340559999e-08,8.901024641116e-05,9.613297617674999e-06,4.202098353830998e-05,3.1091523231790005e-05,3.138084767528001e-07,0.002746961470516001,1.2757624134689992e-09,1.178812726501759e-08,0.0003365721127492001,0.00014036773183249995,2.222605026284998e-06,8.403079551436007e-11,False,3
32,2.240660531934001e-08,0.0026994371141714187,1.4617046002870005e-09,6.084400467708004e-07,0.0003239426508567001,8.841755149322991e-05,4.307864996332998e-09,8.890606223024006e-05,7.380594165698006e-06,4.1937707936e-05,2.1206402665200008e-05,2.2894441159769982e-07,0.002781593766621001,1.5764332492979972e-09,8.994469114855294e-09,8.966818358052994e-05,0.00014067966501899994,3.711335709343001e-06,3.181709061031995e-10,False,3
33,1.8605188261350018e-08,0.0024893983756776503,1.273597876372999e-09,1.285902322426999e-06,0.0004910231918981998,6.583805384995999e-05,9.654826938315e-09,8.899088374658992e-05,9.951528428194995e-06,4.2005216652799984e-05,3.279067177646999e-05,3.115277623664998e-07,0.0027510677208109997,1.2301351147589975e-09,1.213027268550615e-08,0.0003755238275881,0.00014042341516050003,1.985000874252998e-06,1.0676746037859989e-10,False,3
34,2.3150669853130013e-08,0.001944810918118711,1.786031752419002e-09,6.574530555859002e-07,0.00045948683661850006,8.697327286428008e-05,1.1107707122999994e-08,8.958794144977992e-05,5.062766613132004e-06,4.248882426816003e-05,3.093078825535002e-05,2.7806021586350014e-07,0.0027170130697240008,9.664796513941005e-10,8.79564780711581e-09,0.0005142830102557998,0.00013868081627739991,2.3990296996529994e-06,8.403143176810009e-11,False,3
35,1.775856448936e-08,0.002409258559993461,2.0057837048599988e-09,1.489722316577001e-06,0.0005547631751734001,6.789570981710993e-05,1.3562270085780005e-08,8.883519150172007e-05,1.0849654198799994e-05,4.1879447392139994e-05,3.729155265312e-05,7.162535794725003e-07,0.0027673624096459996,1.1417210620930005e-09,1.3059403759296251e-08,0.0004911444092676998,0.00014087294111270006,6.142597973362997e-06,8.402961902276994e-11,False,3
